[2025-05-30 11:24:09,807: INFO: __init__: Welcome to custom log]
[2025-05-30 17:46:06,357: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-30 17:50:22,220: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-30 17:50:28,397: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<

x==========x]
[2025-05-30 21:38:50,725: INFO: __init__: Welcome to custom log]
[2025-05-30 21:38:51,277: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-05-30 21:38:51,278: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 21:38:51,279: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 21:38:51,279: INFO: common: created directory at: artifacts]
[2025-05-30 21:38:51,279: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-30 21:38:51,279: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-30 21:46:05,379: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-30 21:46:15,628: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<

x==========x]
[2025-06-04 23:23:11,003: INFO: __init__: Welcome to custom log]
[2025-06-04 23:23:30,070: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-04 23:23:30,073: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-04 23:23:30,074: INFO: common: created directory at: artifacts]
[2025-06-04 23:23:30,075: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-06-04 23:27:13,245: INFO: __init__: Welcome to custom log]
[2025-06-04 23:27:30,539: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-04 23:27:30,541: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-04 23:27:30,543: INFO: common: created directory at: artifacts]
[2025-06-04 23:27:30,544: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-06-04 23:29:25,102: INFO: __init__: Welcome to custom log]
[2025-06-04 23:29:42,639: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-04 23:29:42,643: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-04 23:29:42,644: INFO: common: created directory at: artifacts]
[2025-06-04 23:29:42,645: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-06-04 23:30:02,890: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-06-04 23:30:03,094: WARNING: optimizer: At this time, the v2.11+ optimizer `tf.keras.optimizers.Adam` runs slowly on M1/M2 Macs, please use the legacy Keras optimizer instead, located at `tf.keras.optimizers.legacy.Adam`.]
[2025-06-04 23:30:03,104: WARNING: __init__: There is a known slowdown when using v2.11+ Keras optimizers on M1/M2 Macs. Falling back to the legacy Keras optimizer, i.e., `tf.keras.optimizers.legacy.Adam`.]
[2025-06-05 00:21:03,951: INFO: __init__: Welcome to custom log]
[2025-06-05 23:12:19,844: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:12:19,855: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:12:19,856: INFO: common: created directory at: artifacts]
[2025-06-05 23:12:19,857: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:13:33,881: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:13:33,885: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:13:33,886: INFO: common: created directory at: artifacts]
[2025-06-05 23:13:33,887: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:15:15,732: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:15:15,738: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:15:15,739: INFO: common: created directory at: artifacts]
[2025-06-05 23:15:15,739: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:15:17,386: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:15:17,389: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:15:17,390: INFO: common: created directory at: artifacts]
[2025-06-05 23:15:17,392: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:19:04,218: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:19:04,223: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:19:04,224: INFO: common: created directory at: artifacts]
[2025-06-05 23:19:04,225: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:19:48,685: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:19:48,690: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:19:48,691: INFO: common: created directory at: artifacts]
[2025-06-05 23:19:48,692: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:19:49,331: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:19:49,334: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:19:49,335: INFO: common: created directory at: artifacts]
[2025-06-05 23:19:49,336: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:21:23,067: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:21:23,082: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:21:23,084: INFO: common: created directory at: artifacts]
[2025-06-05 23:21:23,085: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:21:24,463: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:21:24,466: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:21:24,467: INFO: common: created directory at: artifacts]
[2025-06-05 23:21:24,469: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:22:33,130: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:22:33,142: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:22:33,143: INFO: common: created directory at: artifacts]
[2025-06-05 23:22:33,143: INFO: common: created directory at: artifacts/training]
[2025-06-05 23:30:44,269: INFO: __init__: Welcome to custom log]
[2025-06-05 23:30:44,398: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 23:30:44,400: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 23:30:44,400: INFO: common: created directory at: artifacts]
[2025-06-05 23:30:44,401: INFO: common: created directory at: artifacts/training]
[2025-06-06 23:30:08,702: INFO: __init__: Welcome to custom log]
[2025-06-06 23:30:37,297: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-06 23:30:37,303: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-06 23:30:37,304: INFO: common: created directory at: artifacts]
[2025-06-06 23:30:37,306: INFO: common: created directory at: artifacts/training]
[2025-06-07 21:37:47,069: INFO: __init__: Welcome to custom log]
[2025-06-07 21:37:51,392: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-06-07 21:37:51,394: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 21:37:51,396: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 21:37:51,396: INFO: common: created directory at: artifacts]
[2025-06-07 21:37:51,396: ERROR: main: 'ConfigurationManager' object has no attribute 'get_data_ingestion_config']
Traceback (most recent call last):
  File "main.py", line 10, in <module>
    data_ingestion_pipeline.main()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/pipeline/stage_01_data_ingestion.py", line 12, in main
    data_ingestion_config = config.get_data_ingestion_config()
AttributeError: 'ConfigurationManager' object has no attribute 'get_data_ingestion_config'
[2025-06-07 21:40:55,307: INFO: __init__: Welcome to custom log]
[2025-06-07 21:40:59,356: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-06-07 21:40:59,358: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 21:40:59,359: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 21:40:59,359: INFO: common: created directory at: artifacts]
[2025-06-07 21:40:59,359: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-07 21:40:59,359: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 21:45:40,816: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 21:45:54,837: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<

x==========x]
[2025-06-07 21:45:54,838: INFO: main: >>>>> stage Prepare Base Model Stage started <<<<<]
[2025-06-07 21:45:54,863: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 21:45:55,207: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 21:45:55,207: INFO: common: created directory at: artifacts]
[2025-06-07 21:45:55,208: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-06-07 21:45:55,209: ERROR: main: "'ConfigBox' object has no attribute 'base_model_name'"]
Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 503, in __getitem__
    return super().__getitem__(item)
KeyError: 'base_model_name'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 536, in __getattr__
    value = self.__getitem__(item, _ignore_default=True)
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 524, in __getitem__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'base_model_name'"

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 538, in __getattr__
    value = object.__getattribute__(self, item)
AttributeError: 'ConfigBox' object has no attribute 'base_model_name'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/config_box.py", line 28, in __getattr__
    return super().__getattr__(item)
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 552, in __getattr__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'ConfigBox' object has no attribute 'base_model_name'"

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 503, in __getitem__
    return super().__getitem__(item)
KeyError: 'base_model_name'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 536, in __getattr__
    value = self.__getitem__(item, _ignore_default=True)
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 524, in __getitem__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'base_model_name'"

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 538, in __getattr__
    value = object.__getattribute__(self, item)
AttributeError: 'ConfigBox' object has no attribute 'base_model_name'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "main.py", line 21, in <module>
    prepare_base_model_pipeline.main()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/pipeline/stage_02_prepare_base_model.py", line 13, in main
    prepare_base_model_config = config_manager.get_prepare_base_model_config()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/config/configuration.py", line 39, in get_prepare_base_model_config
    base_model_name=Path(config.base_model_name),
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/config_box.py", line 30, in __getattr__
    return super().__getattr__(item.lower())
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 552, in __getattr__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'ConfigBox' object has no attribute 'base_model_name'"
[2025-06-07 21:48:11,761: INFO: __init__: Welcome to custom log]
[2025-06-07 21:48:15,862: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-06-07 21:48:15,864: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 21:48:15,866: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 21:48:15,866: INFO: common: created directory at: artifacts]
[2025-06-07 21:48:15,866: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-07 21:48:15,866: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 21:52:54,077: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 21:53:44,564: INFO: __init__: Welcome to custom log]
[2025-06-07 21:53:48,852: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-06-07 21:53:48,854: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 21:53:48,856: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 21:53:48,856: INFO: common: created directory at: artifacts]
[2025-06-07 21:53:48,857: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-07 21:53:48,857: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 21:58:23,748: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 21:58:33,241: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<

x==========x]
[2025-06-07 21:58:33,241: INFO: main: >>>>> stage Prepare Base Model Stage started <<<<<]
[2025-06-07 21:58:33,244: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 21:58:33,246: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 21:58:33,246: INFO: common: created directory at: artifacts]
[2025-06-07 21:58:33,246: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-06-07 21:58:33,246: ERROR: main: "'ConfigBox' object has no attribute 'update_base_model'"]
Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 503, in __getitem__
    return super().__getitem__(item)
KeyError: 'update_base_model'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 536, in __getattr__
    value = self.__getitem__(item, _ignore_default=True)
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 524, in __getitem__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'update_base_model'"

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 538, in __getattr__
    value = object.__getattribute__(self, item)
AttributeError: 'ConfigBox' object has no attribute 'update_base_model'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/config_box.py", line 28, in __getattr__
    return super().__getattr__(item)
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 552, in __getattr__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'ConfigBox' object has no attribute 'update_base_model'"

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 503, in __getitem__
    return super().__getitem__(item)
KeyError: 'update_base_model'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 536, in __getattr__
    value = self.__getitem__(item, _ignore_default=True)
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 524, in __getitem__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'update_base_model'"

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 538, in __getattr__
    value = object.__getattribute__(self, item)
AttributeError: 'ConfigBox' object has no attribute 'update_base_model'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "main.py", line 21, in <module>
    prepare_base_model_pipeline.main()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/pipeline/stage_02_prepare_base_model.py", line 13, in main
    prepare_base_model_config = config_manager.get_prepare_base_model_config()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/config/configuration.py", line 40, in get_prepare_base_model_config
    update_base_model=Path(config.update_base_model),
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/config_box.py", line 30, in __getattr__
    return super().__getattr__(item.lower())
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/kidney310/lib/python3.8/site-packages/box/box.py", line 552, in __getattr__
    raise BoxKeyError(str(err)) from _exception_cause(err)
box.exceptions.BoxKeyError: "'ConfigBox' object has no attribute 'update_base_model'"
[2025-06-07 22:15:59,642: INFO: __init__: Welcome to custom log]
[2025-06-07 22:16:03,913: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-06-07 22:16:03,915: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 22:16:03,917: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 22:16:03,917: INFO: common: created directory at: artifacts]
[2025-06-07 22:16:03,917: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-07 22:16:03,917: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 22:20:57,305: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 22:21:08,019: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<

x==========x]
[2025-06-07 22:21:08,019: INFO: main: >>>>> stage Prepare Base Model Stage started <<<<<]
[2025-06-07 22:21:08,024: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 22:21:08,025: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 22:21:08,025: INFO: common: created directory at: artifacts]
[2025-06-07 22:21:08,025: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-06-07 22:21:08,026: ERROR: main: __init__() got an unexpected keyword argument 'base_model_name']
Traceback (most recent call last):
  File "main.py", line 21, in <module>
    prepare_base_model_pipeline.main()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/pipeline/stage_02_prepare_base_model.py", line 13, in main
    prepare_base_model_config = config_manager.get_prepare_base_model_config()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/config/configuration.py", line 37, in get_prepare_base_model_config
    prepare_base_model_config = PrepareBaseModelConfig(
TypeError: __init__() got an unexpected keyword argument 'base_model_name'
[2025-06-07 22:32:08,388: INFO: __init__: Welcome to custom log]
[2025-06-07 22:32:13,918: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-06-07 22:32:13,922: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 22:32:13,925: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 22:32:13,925: INFO: common: created directory at: artifacts]
[2025-06-07 22:32:13,926: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-07 22:32:13,926: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 22:38:47,840: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-07 22:38:57,534: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<

x==========x]
[2025-06-07 22:38:57,535: INFO: main: >>>>> stage Prepare Base Model Stage started <<<<<]
[2025-06-07 22:38:57,538: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 22:38:57,540: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 22:38:57,540: INFO: common: created directory at: artifacts]
[2025-06-07 22:38:57,540: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-06-07 22:38:59,113: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-06-07 22:38:59,254: WARNING: optimizer: At this time, the v2.11+ optimizer `tf.keras.optimizers.Adam` runs slowly on M1/M2 Macs, please use the legacy Keras optimizer instead, located at `tf.keras.optimizers.legacy.Adam`.]
[2025-06-07 22:38:59,257: WARNING: __init__: There is a known slowdown when using v2.11+ Keras optimizers on M1/M2 Macs. Falling back to the legacy Keras optimizer, i.e., `tf.keras.optimizers.legacy.Adam`.]
[2025-06-07 22:38:59,397: INFO: main: >>>>> stage Prepare Base Model Stage completed <<<<<

x==========x]
[2025-06-07 22:38:59,397: INFO: main: >>>>> stage Model Training Stage started <<<<<]
[2025-06-07 22:38:59,399: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 22:38:59,400: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 22:38:59,401: INFO: common: created directory at: artifacts]
[2025-06-07 22:38:59,401: INFO: common: created directory at: artifacts/training]
[2025-06-07 22:38:59,401: ERROR: main: __init__() got an unexpected keyword argument 'params_is_augmentation']
Traceback (most recent call last):
  File "main.py", line 31, in <module>
    model_training_pipeline.main()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/pipeline/stage_03_model_training.py", line 12, in main
    training_config = config.get_training_config()
  File "/Users/sushraireddy/Desktop/Kidney-Disease-Classfication/Kidney-Disease-Classfication/src/cnnClassifier/config/configuration.py", line 63, in get_training_config
    training_config = TrainingConfig(
TypeError: __init__() got an unexpected keyword argument 'params_is_augmentation'
[2025-06-07 22:43:29,683: INFO: __init__: Welcome to custom log]
[2025-06-07 22:43:33,945: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-06-07 22:43:33,947: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-07 22:43:33,948: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-07 22:43:33,948: INFO: common: created directory at: artifacts]
[2025-06-07 22:43:33,949: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-07 22:43:33,949: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
